Configuration: {'START': '2001-01-01', 'END': '2024-09-01', 'N_STOCK': 50, 'LEN_DATA': 5000, 'TRAIN_LEN': 60, 'PRED_LEN': 20, 'TRAIN_RATIO': 0.7, 'RESULT_DIR': 'result/GRU_False_equal_risk_parity_60_20', 'MODELS': ['GRU', 'TCN', 'TRANSFORMER'], 'MULTIMODAL_OPTIONS': [False], 'LOSS_FUNCTIONS': ['max_sharpe', 'equal_risk_parity', 'mean_variance'], 'TRAIN_LEN_OPTIONS': [60], 'PRED_LEN_OPTIONS': [20], 'SEED': 42, 'BATCH': 32, 'EPOCHS': 500, 'EARLY_STOP': 20, 'LR': 0.005, 'MOMENTUM': 0.9, 'USE_CUDA': True, 'LB': 0, 'UB': 0.2, 'N_FEAT': 50, 'BETA': 0.2, 'LOSS_FUNCTION': 'equal_risk_parity', 'TCN': {'n_output': 50, 'kernel_size': 4, 'n_dropout': 0.1, 'n_timestep': 60, 'hidden_size': 64, 'level': 3}, 'GRU': {'n_layers': 1, 'hidden_dim': 128, 'dropout_p': 0.3, 'bidirectional': False}, 'TRANSFORMER': {'n_timestep': 60, 'n_layer': 6, 'n_head': 5, 'n_dropout': 0.1, 'n_output': 50}, 'MODEL': 'GRU', 'MULTIMODAL': False}
Model: gru, Multimodal: False, Loss Function: equal_risk_parity
Loading and processing data...
Epoch 1/500, Training Loss: 0.007055
Epoch 1/500, Validation Loss: 0.007725
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_1_loss_0.0077.pth
Epoch 2/500, Training Loss: 0.007037
Epoch 2/500, Validation Loss: 0.007702
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_2_loss_0.0077.pth
Epoch 3/500, Training Loss: 0.007003
Epoch 3/500, Validation Loss: 0.007679
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_3_loss_0.0077.pth
Epoch 4/500, Training Loss: 0.006987
Epoch 4/500, Validation Loss: 0.007657
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_4_loss_0.0077.pth
Epoch 5/500, Training Loss: 0.006958
Epoch 5/500, Validation Loss: 0.007636
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_5_loss_0.0076.pth
Epoch 6/500, Training Loss: 0.006944
Epoch 6/500, Validation Loss: 0.007616
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_6_loss_0.0076.pth
Epoch 7/500, Training Loss: 0.006915
Epoch 7/500, Validation Loss: 0.007596
