Configuration: {'START': '2001-01-01', 'END': '2024-09-01', 'N_STOCK': 50, 'LEN_DATA': 5000, 'TRAIN_LEN': 60, 'PRED_LEN': 20, 'TRAIN_RATIO': 0.7, 'RESULT_DIR': 'result/TCN_False_max_sharpe_60_20', 'MODELS': ['GRU', 'TCN', 'TRANSFORMER'], 'MULTIMODAL_OPTIONS': [False], 'LOSS_FUNCTIONS': ['max_sharpe', 'equal_risk_parity', 'mean_variance'], 'TRAIN_LEN_OPTIONS': [60], 'PRED_LEN_OPTIONS': [20], 'SEED': 42, 'BATCH': 32, 'EPOCHS': 500, 'EARLY_STOP': 20, 'LR': 0.005, 'MOMENTUM': 0.9, 'USE_CUDA': True, 'LB': 0, 'UB': 0.2, 'N_FEAT': 50, 'BETA': 0.2, 'LOSS_FUNCTION': 'max_sharpe', 'TCN': {'n_output': 50, 'kernel_size': 4, 'n_dropout': 0.1, 'n_timestep': 60, 'hidden_size': 64, 'level': 3}, 'GRU': {'n_layers': 1, 'hidden_dim': 128, 'dropout_p': 0.3, 'bidirectional': False}, 'TRANSFORMER': {'n_timestep': 60, 'n_layer': 6, 'n_head': 5, 'n_dropout': 0.1, 'n_output': 50}, 'MODEL': 'TCN', 'MULTIMODAL': False}
Model: tcn, Multimodal: False, Loss Function: max_sharpe
Loading and processing data...
Epoch 1/500, Training Loss: -0.339280
Epoch 1/500, Validation Loss: -0.340548
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_1_loss_-0.3405.pth
Epoch 2/500, Training Loss: -0.343501
Epoch 2/500, Validation Loss: -0.342762
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_2_loss_-0.3428.pth
Epoch 3/500, Training Loss: -0.347247
Epoch 3/500, Validation Loss: -0.344819
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_3_loss_-0.3448.pth
Epoch 4/500, Training Loss: -0.351182
Epoch 4/500, Validation Loss: -0.347316
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_4_loss_-0.3473.pth
Epoch 5/500, Training Loss: -0.356635
Epoch 5/500, Validation Loss: -0.350536
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_5_loss_-0.3505.pth
Epoch 6/500, Training Loss: -0.363580
Epoch 6/500, Validation Loss: -0.355590
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_6_loss_-0.3556.pth
Epoch 7/500, Training Loss: -0.376746
Epoch 7/500, Validation Loss: -0.367663
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_7_loss_-0.3677.pth
Epoch 8/500, Training Loss: -0.404952
Epoch 8/500, Validation Loss: -0.385758
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_8_loss_-0.3858.pth
Epoch 9/500, Training Loss: -0.417797
Epoch 9/500, Validation Loss: -0.388337
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_9_loss_-0.3883.pth
Epoch 10/500, Training Loss: -0.422629
Epoch 10/500, Validation Loss: -0.389242
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_10_loss_-0.3892.pth
Epoch 11/500, Training Loss: -0.428437
Epoch 11/500, Validation Loss: -0.387515
Epoch 12/500, Training Loss: -0.432589
Epoch 12/500, Validation Loss: -0.391913
Best model saved to result/TCN_False_max_sharpe_60_20/models/tcn_False/best_model_epoch_12_loss_-0.3919.pth
Epoch 13/500, Training Loss: -0.438572
Epoch 13/500, Validation Loss: -0.391158
Epoch 14/500, Training Loss: -0.440314
Epoch 14/500, Validation Loss: -0.389518
Epoch 15/500, Training Loss: -0.441432
Epoch 15/500, Validation Loss: -0.390767
Epoch 16/500, Training Loss: -0.441707
Epoch 16/500, Validation Loss: -0.390491
Epoch 17/500, Training Loss: -0.442537
Epoch 17/500, Validation Loss: -0.388618
Epoch 18/500, Training Loss: -0.444400
Epoch 18/500, Validation Loss: -0.386539
Epoch 19/500, Training Loss: -0.445831
Epoch 19/500, Validation Loss: -0.385531
Epoch 20/500, Training Loss: -0.445904
Epoch 20/500, Validation Loss: -0.386731
Epoch 21/500, Training Loss: -0.447218
Epoch 21/500, Validation Loss: -0.384309
Epoch 22/500, Training Loss: -0.448292
Epoch 22/500, Validation Loss: -0.386227
Epoch 23/500, Training Loss: -0.447738
Epoch 23/500, Validation Loss: -0.384038
Epoch 24/500, Training Loss: -0.451007
Epoch 24/500, Validation Loss: -0.383418
Epoch 25/500, Training Loss: -0.452074
Epoch 25/500, Validation Loss: -0.386721
Epoch 26/500, Training Loss: -0.455256
Epoch 26/500, Validation Loss: -0.386448
Epoch 27/500, Training Loss: -0.455818
Epoch 27/500, Validation Loss: -0.384547
Epoch 28/500, Training Loss: -0.457718
Epoch 28/500, Validation Loss: -0.381048
Epoch 29/500, Training Loss: -0.461542
Epoch 29/500, Validation Loss: -0.382970
Epoch 30/500, Training Loss: -0.464176
Epoch 30/500, Validation Loss: -0.380031
Epoch 31/500, Training Loss: -0.466906
Epoch 31/500, Validation Loss: -0.381562
Epoch 32/500, Training Loss: -0.470482
Epoch 32/500, Validation Loss: -0.381126
Early stopping at epoch 32
Configuration: {'START': '2001-01-01', 'END': '2024-09-01', 'N_STOCK': 50, 'LEN_DATA': 5000, 'TRAIN_LEN': 60, 'PRED_LEN': 20, 'TRAIN_RATIO': 0.7, 'RESULT_DIR': 'result/TCN_False_equal_risk_parity_60_20', 'MODELS': ['GRU', 'TCN', 'TRANSFORMER'], 'MULTIMODAL_OPTIONS': [False], 'LOSS_FUNCTIONS': ['max_sharpe', 'equal_risk_parity', 'mean_variance'], 'TRAIN_LEN_OPTIONS': [60], 'PRED_LEN_OPTIONS': [20], 'SEED': 42, 'BATCH': 32, 'EPOCHS': 500, 'EARLY_STOP': 20, 'LR': 0.005, 'MOMENTUM': 0.9, 'USE_CUDA': True, 'LB': 0, 'UB': 0.2, 'N_FEAT': 50, 'BETA': 0.2, 'LOSS_FUNCTION': 'equal_risk_parity', 'TCN': {'n_output': 50, 'kernel_size': 4, 'n_dropout': 0.1, 'n_timestep': 60, 'hidden_size': 64, 'level': 3}, 'GRU': {'n_layers': 1, 'hidden_dim': 128, 'dropout_p': 0.3, 'bidirectional': False}, 'TRANSFORMER': {'n_timestep': 60, 'n_layer': 6, 'n_head': 5, 'n_dropout': 0.1, 'n_output': 50}, 'MODEL': 'TCN', 'MULTIMODAL': False}
Model: tcn, Multimodal: False, Loss Function: equal_risk_parity
Loading and processing data...
Epoch 1/500, Training Loss: 0.006999
Epoch 1/500, Validation Loss: 0.007566
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_1_loss_0.0076.pth
Epoch 2/500, Training Loss: 0.006901
Epoch 2/500, Validation Loss: 0.007494
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_2_loss_0.0075.pth
Epoch 3/500, Training Loss: 0.006816
Epoch 3/500, Validation Loss: 0.007428
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_3_loss_0.0074.pth
Epoch 4/500, Training Loss: 0.006732
Epoch 4/500, Validation Loss: 0.007367
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_4_loss_0.0074.pth
Epoch 5/500, Training Loss: 0.006656
Epoch 5/500, Validation Loss: 0.007310
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_5_loss_0.0073.pth
Epoch 6/500, Training Loss: 0.006583
Epoch 6/500, Validation Loss: 0.007257
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_6_loss_0.0073.pth
Epoch 7/500, Training Loss: 0.006511
Epoch 7/500, Validation Loss: 0.007207
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_7_loss_0.0072.pth
Epoch 8/500, Training Loss: 0.006455
Epoch 8/500, Validation Loss: 0.007160
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_8_loss_0.0072.pth
Epoch 9/500, Training Loss: 0.006388
Epoch 9/500, Validation Loss: 0.007116
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_9_loss_0.0071.pth
Epoch 10/500, Training Loss: 0.006328
Epoch 10/500, Validation Loss: 0.007074
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_10_loss_0.0071.pth
Epoch 11/500, Training Loss: 0.006271
Epoch 11/500, Validation Loss: 0.007034
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_11_loss_0.0070.pth
Epoch 12/500, Training Loss: 0.006218
Epoch 12/500, Validation Loss: 0.006995
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_12_loss_0.0070.pth
Epoch 13/500, Training Loss: 0.006165
Epoch 13/500, Validation Loss: 0.006959
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_13_loss_0.0070.pth
Epoch 14/500, Training Loss: 0.006117
Epoch 14/500, Validation Loss: 0.006923
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_14_loss_0.0069.pth
Epoch 15/500, Training Loss: 0.006066
Epoch 15/500, Validation Loss: 0.006890
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_15_loss_0.0069.pth
Epoch 16/500, Training Loss: 0.006020
Epoch 16/500, Validation Loss: 0.006857
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_16_loss_0.0069.pth
Epoch 17/500, Training Loss: 0.005974
Epoch 17/500, Validation Loss: 0.006826
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_17_loss_0.0068.pth
Epoch 18/500, Training Loss: 0.005930
Epoch 18/500, Validation Loss: 0.006795
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_18_loss_0.0068.pth
Epoch 19/500, Training Loss: 0.005888
Epoch 19/500, Validation Loss: 0.006765
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_19_loss_0.0068.pth
Epoch 20/500, Training Loss: 0.005847
Epoch 20/500, Validation Loss: 0.006736
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_20_loss_0.0067.pth
Epoch 21/500, Training Loss: 0.005803
Epoch 21/500, Validation Loss: 0.006708
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_21_loss_0.0067.pth
Epoch 22/500, Training Loss: 0.005762
Epoch 22/500, Validation Loss: 0.006681
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_22_loss_0.0067.pth
Epoch 23/500, Training Loss: 0.005725
Epoch 23/500, Validation Loss: 0.006655
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_23_loss_0.0067.pth
Epoch 24/500, Training Loss: 0.005687
Epoch 24/500, Validation Loss: 0.006629
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_24_loss_0.0066.pth
Epoch 25/500, Training Loss: 0.005650
Epoch 25/500, Validation Loss: 0.006604
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_25_loss_0.0066.pth
Epoch 26/500, Training Loss: 0.005612
Epoch 26/500, Validation Loss: 0.006580
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_26_loss_0.0066.pth
Epoch 27/500, Training Loss: 0.005576
Epoch 27/500, Validation Loss: 0.006556
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_27_loss_0.0066.pth
Epoch 28/500, Training Loss: 0.005541
Epoch 28/500, Validation Loss: 0.006533
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_28_loss_0.0065.pth
Epoch 29/500, Training Loss: 0.005507
Epoch 29/500, Validation Loss: 0.006510
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_29_loss_0.0065.pth
Epoch 30/500, Training Loss: 0.005473
Epoch 30/500, Validation Loss: 0.006488
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_30_loss_0.0065.pth
Epoch 31/500, Training Loss: 0.005440
Epoch 31/500, Validation Loss: 0.006466
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_31_loss_0.0065.pth
Epoch 32/500, Training Loss: 0.005410
Epoch 32/500, Validation Loss: 0.006445
