,EWP,MyPortfolio,index_sp
2017-04-06,10000.0,10000.0,10000.0
2017-05-04,10200.797167912659,10296.629371344881,10135.8649641337
2017-06-01,10398.501756594374,10703.31235400911,10307.827683934982
2017-06-29,10498.020247199578,10623.716211572946,10263.882184845736
2017-07-27,10664.804277644154,10975.919796950697,10500.235131979927
2017-08-24,10596.886042166374,10990.55918761575,10345.621745187767
2017-09-21,10958.444592758007,11243.543188835429,10607.044390494517
2017-10-19,11165.539870254968,11448.609558659886,10867.915063348935
2017-11-16,11383.171634435026,11831.604790329784,10967.766155058278
2017-12-14,11920.79326559647,12297.509524477067,11249.294888849006
2018-01-11,12294.735452040668,12642.708063325239,11739.43503496533
2018-02-08,12055.310638787438,12423.308753550937,10948.084660768396
2018-03-08,12264.733622345108,12855.773182409226,11618.161612770302
2018-04-05,11987.749460594501,12715.743870857152,11295.233909459326
2018-05-03,11901.460633185021,12836.566632023609,11154.787470411738
2018-05-31,12375.98579462414,13418.8808227766,11475.213174764316
2018-06-28,12208.075922434155,13424.063824081213,11522.04280758665
2018-07-26,12980.864870906868,14037.866064421574,12035.851491035004
2018-08-23,13221.566715417579,14475.360258627206,12118.736420105508
2018-09-20,13538.587123452384,14860.237804978493,12431.6540563917
2018-10-18,13251.663823911926,14598.89388784779,11744.609906155361
2018-11-15,12905.388759506919,13961.95093028668,11580.960947793657
2018-12-13,12696.560680232908,13593.982538546077,11243.059567769324
2019-01-10,12411.885161394952,13023.537238898018,11014.42595020297
2019-02-07,13030.510651016953,13893.386307711617,11478.521902691502
2019-03-07,13360.68284532959,14162.354045855205,11660.409770678747
2019-04-04,13903.965570463213,15021.183808142285,12213.794775399509
2019-05-02,14204.325882835423,15412.030215606303,12375.53513107896
2019-05-30,13593.98865994523,14601.381943873694,11829.785572682811
2019-06-27,14331.633427024262,15518.871789287652,12406.924033574423
2019-07-25,14858.147117317667,15942.25783429808,12740.965748814839
2019-08-22,14439.308317050047,15803.577016246008,12398.567812715435
2019-09-19,14870.779947127594,16140.804844428169,12754.200660523582
2019-10-17,14814.433800298197,16325.014392123914,12716.702779611069
2019-11-14,15345.022564025649,16932.740145646756,13135.283270087784
2019-12-12,15574.103464639064,17450.190431851977,13440.439117386728
2020-01-09,16115.403933534222,18389.369543862846,13890.620807455956
2020-02-06,16520.054507758363,19120.583096844068,14192.128251472435
2020-03-05,15497.659405076527,18455.68567478978,12826.947108715478
2020-04-02,12635.6539386354,15168.164482921857,10718.602890409442
2020-04-30,14889.798506223786,17777.956627267242,12353.943998511228
2020-05-28,15225.208827113915,18698.32714176967,12851.507293855117
2020-06-25,15162.935578375185,19219.152407274956,13080.691848278202
2020-07-23,16293.818760730732,20972.130008723674,13725.020786992587
2020-08-20,16755.71651340863,22322.718660279577,14360.654865088301
2020-09-17,16980.745989367162,22488.46398939366,14239.76357766796
2020-10-15,17332.90139686309,23563.814102631768,14775.630447297555
2020-11-12,17818.34722027315,23819.750687536616,15003.28749821748
2020-12-10,18512.49081519487,24111.67562390425,15559.345375169876
2021-01-07,18983.32194226087,24855.82198236122,16134.914908734512
2021-02-04,19071.21380433267,25146.977929398407,16423.144981622838
2021-03-04,19220.619642514506,24237.446602731092,15985.094258357696
2021-04-01,20026.302413693196,25222.594878200212,17051.483288749216
2021-04-29,20778.451615670427,26395.334720529638,17864.212498416833
2021-05-27,21114.640868283954,26279.485974876876,17819.29043268116
2021-06-24,21136.269808530447,26702.328037045245,18097.596392979118
2021-07-22,21968.24790425718,28121.45604866109,18525.974653383564
2021-08-19,22457.70614651842,28925.023323518926,18688.51966684061
2021-09-16,22601.60461567655,29439.39669510075,18976.75077532453
2021-10-14,22066.43577055628,28637.158861164593,18826.208314817748
2021-11-11,23598.767172671403,30819.74989785879,19721.271516699133
